Average Speed-up: 98.96%
Average Speed-up Factor: 107.20x

Hydrograph H142: Ground Truth = 101.28s, AI Model = 1.30s, Speed-up = 98.72%, Speed-up Factor = 77.91x
Hydrograph H143: Ground Truth = 85.90s, AI Model = 0.63s, Speed-up = 99.27%, Speed-up Factor = 136.35x
Hydrograph H144: Ground Truth = 75.93s, AI Model = 1.49s, Speed-up = 98.04%, Speed-up Factor = 50.96x
Hydrograph H145: Ground Truth = 80.88s, AI Model = 0.86s, Speed-up = 98.94%, Speed-up Factor = 94.05x
Hydrograph H146: Ground Truth = 75.95s, AI Model = 0.97s, Speed-up = 98.72%, Speed-up Factor = 78.30x
Hydrograph H147: Ground Truth = 75.83s, AI Model = 0.65s, Speed-up = 99.14%, Speed-up Factor = 116.66x
Hydrograph H148: Ground Truth = 80.87s, AI Model = 0.85s, Speed-up = 98.95%, Speed-up Factor = 95.14x
Hydrograph H149: Ground Truth = 91.16s, AI Model = 1.13s, Speed-up = 98.76%, Speed-up Factor = 80.67x
Hydrograph H150: Ground Truth = 91.19s, AI Model = 0.89s, Speed-up = 99.02%, Speed-up Factor = 102.46x
Hydrograph H151: Ground Truth = 81.14s, AI Model = 1.29s, Speed-up = 98.41%, Speed-up Factor = 62.90x
Hydrograph H152: Ground Truth = 80.95s, AI Model = 1.15s, Speed-up = 98.58%, Speed-up Factor = 70.39x
Hydrograph H153: Ground Truth = 80.90s, AI Model = 1.04s, Speed-up = 98.71%, Speed-up Factor = 77.79x
Hydrograph H154: Ground Truth = 86.00s, AI Model = 1.20s, Speed-up = 98.60%, Speed-up Factor = 71.67x
Hydrograph H155: Ground Truth = 81.03s, AI Model = 1.66s, Speed-up = 97.95%, Speed-up Factor = 48.81x
Hydrograph H156: Ground Truth = 81.04s, AI Model = 0.83s, Speed-up = 98.98%, Speed-up Factor = 97.64x
Hydrograph H157: Ground Truth = 75.89s, AI Model = 1.06s, Speed-up = 98.60%, Speed-up Factor = 71.59x
Hydrograph H158: Ground Truth = 75.85s, AI Model = 1.30s, Speed-up = 98.29%, Speed-up Factor = 58.35x
Hydrograph H159: Ground Truth = 80.98s, AI Model = 0.85s, Speed-up = 98.95%, Speed-up Factor = 95.27x
Hydrograph H160: Ground Truth = 75.95s, AI Model = 1.05s, Speed-up = 98.62%, Speed-up Factor = 72.33x
Hydrograph H161: Ground Truth = 76.05s, AI Model = 1.29s, Speed-up = 98.30%, Speed-up Factor = 58.95x
Hydrograph H162: Ground Truth = 86.03s, AI Model = 1.05s, Speed-up = 98.78%, Speed-up Factor = 81.93x
Hydrograph H163: Ground Truth = 80.89s, AI Model = 1.47s, Speed-up = 98.18%, Speed-up Factor = 55.03x
Hydrograph H164: Ground Truth = 80.92s, AI Model = 0.85s, Speed-up = 98.95%, Speed-up Factor = 95.20x
Hydrograph H165: Ground Truth = 80.94s, AI Model = 0.97s, Speed-up = 98.80%, Speed-up Factor = 83.44x
Hydrograph H166: Ground Truth = 85.91s, AI Model = 0.97s, Speed-up = 98.87%, Speed-up Factor = 88.57x
Hydrograph H167: Ground Truth = 85.88s, AI Model = 1.28s, Speed-up = 98.51%, Speed-up Factor = 67.09x
Hydrograph H168: Ground Truth = 85.92s, AI Model = 1.48s, Speed-up = 98.28%, Speed-up Factor = 58.05x
